id,source,x,y,z
0,2403221000,0.0094615,0.003175,0.000489
1,4499991000,0.0177165,0.003175,0.000489
2,13499973000,0.0177165,0.009525,0.000489
3,7209663000,0.0094615,0.009525,0.000489
4,2403221000,0.0094615,0.003175,0.000755
5,4499991000,0.0177165,0.003175,0.000755
6,13499973000,0.0177165,0.009525,0.000755
7,7209663000,0.0094615,0.009525,0.000755
8,6596761000,0.0259715,0.003175,0.000489
9,19790283000,0.0259715,0.009525,0.000489
10,6596761000,0.0259715,0.003175,0.000755
11,19790283000,0.0259715,0.009525,0.000755
12,8693531000,0.0342265,0.003175,0.000489
13,26080593000,0.0342265,0.009525,0.000489
14,8693531000,0.0342265,0.003175,0.000755
15,26080593000,0.0342265,0.009525,0.000755
16,10790301000,0.0424815,0.003175,0.000489
17,32370903000,0.0424815,0.009525,0.000489
18,10790301000,0.0424815,0.003175,0.000755
19,32370903000,0.0424815,0.009525,0.000755
20,12887071000,0.0507365,0.003175,0.000489
21,38661213000,0.0507365,0.009525,0.000489
22,12887071000,0.0507365,0.003175,0.000755
23,38661213000,0.0507365,0.009525,0.000755
24,14983841000,0.0589915,0.003175,0.000489
25,44951523000,0.0589915,0.009525,0.000489
26,14983841000,0.0589915,0.003175,0.000755
27,44951523000,0.0589915,0.009525,0.000755
28,17080611000,0.0672465,0.003175,0.000489
29,51241833000,0.0672465,0.009525,0.000489
30,17080611000,0.0672465,0.003175,0.000755
31,51241833000,0.0672465,0.009525,0.000755
32,19177381000,0.0755015,0.003175,0.000489
33,57532143000,0.0755015,0.009525,0.000489
34,19177381000,0.0755015,0.003175,0.000755
35,57532143000,0.0755015,0.009525,0.000755
36,21274151000,0.0837565,0.003175,0.000489
37,63822453000,0.0837565,0.009525,0.000489
38,21274151000,0.0837565,0.003175,0.000755
39,63822453000,0.0837565,0.009525,0.000755
40,23370921000,0.0920115,0.003175,0.000489
41,70112763000,0.0920115,0.009525,0.000489
42,23370921000,0.0920115,0.003175,0.000755
43,70112763000,0.0920115,0.009525,0.000755
44,22499955000,0.0177165,0.015875,0.000489
45,12016105000,0.0094615,0.015875,0.000489
46,22499955000,0.0177165,0.015875,0.000755
47,12016105000,0.0094615,0.015875,0.000755
48,32983805000,0.0259715,0.015875,0.000489
49,32983805000,0.0259715,0.015875,0.000755
50,43467655000,0.0342265,0.015875,0.000489
51,43467655000,0.0342265,0.015875,0.000755
52,53951505000,0.0424815,0.015875,0.000489
53,53951505000,0.0424815,0.015875,0.000755
54,64435355000,0.0507365,0.015875,0.000489
55,64435355000,0.0507365,0.015875,0.000755
56,74919205000,0.0589915,0.015875,0.000489
57,74919205000,0.0589915,0.015875,0.000755
58,85403055000,0.0672465,0.015875,0.000489
59,85403055000,0.0672465,0.015875,0.000755
60,95886905000,0.0755015,0.015875,0.000489
61,95886905000,0.0755015,0.015875,0.000755
62,106370755000,0.0837565,0.015875,0.000489
63,106370755000,0.0837565,0.015875,0.000755
64,116854605000,0.0920115,0.015875,0.000489
65,116854605000,0.0920115,0.015875,0.000755
66,31499937000,0.0177165,0.022225,0.000489
67,16822547000,0.0094615,0.022225,0.000489
68,31499937000,0.0177165,0.022225,0.000755
69,16822547000,0.0094615,0.022225,0.000755
70,46177327000,0.0259715,0.022225,0.000489
71,46177327000,0.0259715,0.022225,0.000755
72,60854717000,0.0342265,0.022225,0.000489
73,60854717000,0.0342265,0.022225,0.000755
74,75532107000,0.0424815,0.022225,0.000489
75,75532107000,0.0424815,0.022225,0.000755
76,90209497000,0.0507365,0.022225,0.000489
77,90209497000,0.0507365,0.022225,0.000755
78,104886887000,0.0589915,0.022225,0.000489
79,104886887000,0.0589915,0.022225,0.000755
80,119564277000,0.0672465,0.022225,0.000489
81,119564277000,0.0672465,0.022225,0.000755
82,134241667000,0.0755015,0.022225,0.000489
83,134241667000,0.0755015,0.022225,0.000755
84,148919057000,0.0837565,0.022225,0.000489
85,148919057000,0.0837565,0.022225,0.000755
86,163596447000,0.0920115,0.022225,0.000489
87,163596447000,0.0920115,0.022225,0.000755
